subject, fuzzer, trial, total, tte, crashes
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755367, 82790, 14285,  3
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755365, 82736, 1494,  6
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755366, 82788, 942,  10
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755373, 82652, 1414,  9
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755372, 82705, 4504,  14
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755379, 82784, 1105,  9
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755380, 82788, 9029,  8
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755378, 82244, 1635,  6
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755371, 82736, 937,  4
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755377, 82770, 7900,  3
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755375, 82560, 1149,  7
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755374, 82426, 8354,  13
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-763018, 80094, 1576,  2
aspell_aspell_fuzzer, aflchurn_xlogchange, trial-755376, 82769, 947,  7
file_magic_fuzzer, afl, trial-753143, 82797, 194,  5
file_magic_fuzzer, afl, trial-753150, 82791, 403,  5
file_magic_fuzzer, afl, trial-753145, 82785, 245,  5
file_magic_fuzzer, afl, trial-753149, 72005, 168,  4
file_magic_fuzzer, afl, trial-753153, 16194, 471,  4
file_magic_fuzzer, afl, trial-753154, 82799, 229,  6
file_magic_fuzzer, afl, trial-753142, 82765, 321,  5
file_magic_fuzzer, afl, trial-753141, 82799, 271,  5
file_magic_fuzzer, afl, trial-753144, 82731, 291,  5
file_magic_fuzzer, afl, trial-753159, 82788, 301,  4
file_magic_fuzzer, afl, trial-753151, 82789, 301,  5
file_magic_fuzzer, afl, trial-753152, 82788, 210,  4
file_magic_fuzzer, afl, trial-753146, 41386, 352,  6
file_magic_fuzzer, afl, trial-753156, 82792, 393,  5
file_magic_fuzzer, afl, trial-753147, 82795, 133,  5
file_magic_fuzzer, afl, trial-763875, 58480, 521,  4
file_magic_fuzzer, afl, trial-753148, 82793, 302,  4
file_magic_fuzzer, afl, trial-753157, 82796, 414,  4
file_magic_fuzzer, afl, trial-753155, 75612, 306,  5
file_magic_fuzzer, afl, trial-762984, 80113, 225,  4
file_magic_fuzzer, afl, trial-758224, 82796, 614,  5
file_magic_fuzzer, afl, trial-763143, 80105, 510,  5
file_magic_fuzzer, afl, trial-763160, 19794, 327,  6
file_magic_fuzzer, afl, trial-753158, 82783, 312,  4
